precinct,year,category,incident_count
1,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6
1,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,16
1,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7
1,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,11
1,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7
1,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,18
1,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13
1,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,14
1,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,25
1,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19
1,2010,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,34
1,2011,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,33
1,2012,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,42
1,2013,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,43
1,2014,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,37
5,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8
5,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6
5,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8
5,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,16
5,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,11
5,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17
5,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,14
5,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19
5,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10
5,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,41
5,2010,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,92
5,2011,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,21
5,2012,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17
5,2013,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,20
5,2014,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,11
6,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,12
6,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,25
6,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13
6,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,18
6,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,27
6,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,16
6,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,46
6,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,72
6,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,49
6,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,86
6,2010,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,85
6,2011,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,44
6,2012,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,48
6,2013,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,30
6,2014,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,20
7,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2
7,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6
7,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10
7,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,14
7,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,29
7,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,35
7,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,22
7,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,23
7,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,27
7,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,43
7,2010,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,29
7,2011,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,27
7,2012,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,43
7,2013,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,24
7,2014,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,12
9,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8
9,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15
9,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,16
9,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,65
9,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,85
9,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,83
9,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,133
9,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,77
9,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,67
9,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,51
9,2010,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,22
9,2011,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,47
9,2012,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,56
9,2013,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,32
9,2014,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,34
10,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6
10,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13
10,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10
10,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19
10,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17
10,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15
10,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,17
10,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6
10,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,11
10,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,9
10,2010,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,32
10,2011,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,48
10,2012,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15
10,2013,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,24
10,2014,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,4
13,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15
13,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19
13,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,11
13,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,28
13,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,23
13,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,35
13,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,47
13,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,59
13,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,55
13,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,67
13,2010,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,80
13,2011,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,133
13,2012,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,127
13,2013,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,106
13,2014,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,48
14,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,40
14,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,38
14,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,39
14,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,35
14,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,26
14,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,19
14,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,31
14,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,29
14,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,35
14,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,37
14,2010,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,44
14,2011,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,34
14,2012,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,37
14,2013,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,59
14,2014,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,48
17,2000,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2
17,2001,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2
17,2002,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2
17,2003,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,9
17,2004,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13
17,2005,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,14
17,2006,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7
17,2007,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,1
17,2008,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,4
17,2009,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7
