precinct,year,category,incident_count
1,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,3
1,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,1
1,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,2
1,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,2
1,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,2
1,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,0
1,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,1
1,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,0
1,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,1
1,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,2
1,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,2
1,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,0
1,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,1
1,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,0
1,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,0
5,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,4
5,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,3
5,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,0
5,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,3
5,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,1
5,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,4
5,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,2
5,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,2
5,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,2
5,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,1
5,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,1
5,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,0
5,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,3
5,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,3
5,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,2
6,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,0
6,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,1
6,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,0
6,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,1
6,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,3
6,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,1
6,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,3
6,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,5
6,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,0
6,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,1
6,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,1
6,2011,MURDER & NON NEGL. MANSLAUGHTER                                ,1
6,2012,MURDER & NON NEGL. MANSLAUGHTER                                ,1
6,2013,MURDER & NON NEGL. MANSLAUGHTER                                ,2
6,2014,MURDER & NON NEGL. MANSLAUGHTER                                ,2
7,2000,MURDER & NON NEGL. MANSLAUGHTER                                ,0
7,2001,MURDER & NON NEGL. MANSLAUGHTER                                ,3
7,2002,MURDER & NON NEGL. MANSLAUGHTER                                ,5
7,2003,MURDER & NON NEGL. MANSLAUGHTER                                ,6
7,2004,MURDER & NON NEGL. MANSLAUGHTER                                ,3
7,2005,MURDER & NON NEGL. MANSLAUGHTER                                ,7
7,2006,MURDER & NON NEGL. MANSLAUGHTER                                ,4
7,2007,MURDER & NON NEGL. MANSLAUGHTER                                ,2
7,2008,MURDER & NON NEGL. MANSLAUGHTER                                ,3
7,2009,MURDER & NON NEGL. MANSLAUGHTER                                ,2
7,2010,MURDER & NON NEGL. MANSLAUGHTER                                ,1
