precinct,year,category,incident_count
1,2000,HARASSMENT 2,971
1,2001,HARASSMENT 2,859
1,2002,HARASSMENT 2,806
1,2003,HARASSMENT 2,760
1,2004,HARASSMENT 2,705
1,2005,HARASSMENT 2,597
1,2006,HARASSMENT 2,564
1,2007,HARASSMENT 2,601
1,2008,HARASSMENT 2,507
1,2009,HARASSMENT 2,404
1,2010,HARASSMENT 2,405
1,2011,HARASSMENT 2,398
1,2012,HARASSMENT 2,451
1,2013,HARASSMENT 2,451
1,2014,HARASSMENT 2,474
1,2000,OTHER VIOLATIONS,91
1,2001,OTHER VIOLATIONS,49
1,2002,OTHER VIOLATIONS,59
1,2003,OTHER VIOLATIONS,59
1,2004,OTHER VIOLATIONS,81
1,2005,OTHER VIOLATIONS,17
1,2006,OTHER VIOLATIONS,28
1,2007,OTHER VIOLATIONS,91
1,2008,OTHER VIOLATIONS,62
1,2009,OTHER VIOLATIONS,43
1,2010,OTHER VIOLATIONS,33
1,2011,OTHER VIOLATIONS,249
1,2012,OTHER VIOLATIONS,298
1,2013,OTHER VIOLATIONS,47
1,2014,OTHER VIOLATIONS,14
5,2000,HARASSMENT 2,524
5,2001,HARASSMENT 2,533
5,2002,HARASSMENT 2,506
5,2003,HARASSMENT 2,481
5,2004,HARASSMENT 2,383
5,2005,HARASSMENT 2,456
5,2006,HARASSMENT 2,377
5,2007,HARASSMENT 2,407
5,2008,HARASSMENT 2,366
5,2009,HARASSMENT 2,398
5,2010,HARASSMENT 2,399
5,2011,HARASSMENT 2,368
5,2012,HARASSMENT 2,430
5,2013,HARASSMENT 2,343
5,2014,HARASSMENT 2,376
5,2000,OTHER VIOLATIONS,47
5,2001,OTHER VIOLATIONS,30
5,2002,OTHER VIOLATIONS,92
5,2003,OTHER VIOLATIONS,26
5,2004,OTHER VIOLATIONS,13
5,2005,OTHER VIOLATIONS,12
5,2006,OTHER VIOLATIONS,17
5,2007,OTHER VIOLATIONS,20
5,2008,OTHER VIOLATIONS,108
5,2009,OTHER VIOLATIONS,57
5,2010,OTHER VIOLATIONS,32
5,2011,OTHER VIOLATIONS,58
5,2012,OTHER VIOLATIONS,38
5,2013,OTHER VIOLATIONS,19
5,2014,OTHER VIOLATIONS,8
6,2000,HARASSMENT 2,776
6,2001,HARASSMENT 2,752
6,2002,HARASSMENT 2,663
6,2003,HARASSMENT 2,527
6,2004,HARASSMENT 2,485
6,2005,HARASSMENT 2,433
6,2006,HARASSMENT 2,420
6,2007,HARASSMENT 2,408
6,2008,HARASSMENT 2,400
6,2009,HARASSMENT 2,393
6,2010,HARASSMENT 2,473
6,2011,HARASSMENT 2,412
6,2012,HARASSMENT 2,376
6,2013,HARASSMENT 2,364
6,2014,HARASSMENT 2,391
6,2000,OTHER VIOLATIONS,70
6,2001,OTHER VIOLATIONS,62
6,2002,OTHER VIOLATIONS,49
6,2003,OTHER VIOLATIONS,69
6,2004,OTHER VIOLATIONS,26
6,2005,OTHER VIOLATIONS,113
6,2006,OTHER VIOLATIONS,116
6,2007,OTHER VIOLATIONS,47
6,2008,OTHER VIOLATIONS,43
6,2009,OTHER VIOLATIONS,42
6,2010,OTHER VIOLATIONS,29
6,2011,OTHER VIOLATIONS,138
6,2012,OTHER VIOLATIONS,98
6,2013,OTHER VIOLATIONS,69
6,2014,OTHER VIOLATIONS,10
7,2000,HARASSMENT 2,585
7,2001,HARASSMENT 2,534
7,2002,HARASSMENT 2,513
7,2003,HARASSMENT 2,480
7,2004,HARASSMENT 2,427
7,2005,HARASSMENT 2,499
7,2006,HARASSMENT 2,475
7,2007,HARASSMENT 2,453
7,2008,HARASSMENT 2,536
7,2009,HARASSMENT 2,427
7,2010,HARASSMENT 2,419
7,2011,HARASSMENT 2,374
7,2012,HARASSMENT 2,441
7,2013,HARASSMENT 2,419
7,2014,HARASSMENT 2,491
7,2000,OTHER VIOLATIONS,9
7,2001,OTHER VIOLATIONS,13
7,2002,OTHER VIOLATIONS,21
7,2003,OTHER VIOLATIONS,20
7,2004,OTHER VIOLATIONS,13
7,2005,OTHER VIOLATIONS,18
7,2006,OTHER VIOLATIONS,15
7,2007,OTHER VIOLATIONS,27
7,2008,OTHER VIOLATIONS,35
7,2009,OTHER VIOLATIONS,38
7,2010,OTHER VIOLATIONS,35
7,2011,OTHER VIOLATIONS,42
7,2012,OTHER VIOLATIONS,46
7,2013,OTHER VIOLATIONS,19
7,2014,OTHER VIOLATIONS,6
9,2000,HARASSMENT 2,948
9,2001,HARASSMENT 2,938
9,2002,HARASSMENT 2,892
9,2003,HARASSMENT 2,820
9,2004,HARASSMENT 2,761
9,2005,HARASSMENT 2,794
9,2006,HARASSMENT 2,689
9,2007,HARASSMENT 2,594
9,2008,HARASSMENT 2,649
9,2009,HARASSMENT 2,639
9,2010,HARASSMENT 2,612
9,2011,HARASSMENT 2,618
9,2012,HARASSMENT 2,608
9,2013,HARASSMENT 2,574
9,2014,HARASSMENT 2,565
9,2000,OTHER VIOLATIONS,84
9,2001,OTHER VIOLATIONS,59
9,2002,OTHER VIOLATIONS,79
9,2003,OTHER VIOLATIONS,44
9,2004,OTHER VIOLATIONS,48
9,2005,OTHER VIOLATIONS,32
9,2006,OTHER VIOLATIONS,71
9,2007,OTHER VIOLATIONS,46
9,2008,OTHER VIOLATIONS,58
9,2009,OTHER VIOLATIONS,56
9,2010,OTHER VIOLATIONS,39
9,2011,OTHER VIOLATIONS,44
